anchor_example_id,match_id,season,snapshot_over,sft_bucket,scenario_tag,review_priority,required_run_rate,wickets_in_hand,prompt,label_status,gold_probability,gold_analysis,reviewer_notes
anchor_001,1175367,2019,12,interesting,balanced_chase,high,11.125,6,"SYSTEM:
You are an IPL cricket analyst. Estimate the probability (0.0 to 1.0) that the batting team wins the match.
Write a short public reasoning summary focused only on the most important signals.
Do not reveal hidden chain-of-thought.

Format exactly as:
<analysis>
[2-5 sentence public reasoning summary here]
</analysis>
<answer>0.XX</answer>

Answer must be a decimal between 0.0 and 1.0.

USER:
IPL Match - Rajasthan Royals chasing 176 set by Chennai Super Kings
Venue: MA Chidambaram Stadium
Match type: Evening (7:30 PM IST, dew likely)
Toss: Rajasthan Royals chose to field first

End of Over 12:
Score: 87/4 (72 balls faced)
Need: 89 off 48 (RRR: 11.12)
Current run rate: 7.25

Momentum:
Last over: 7
Last 3 overs: 15 runs, 1 wickets
Last 5 overs: Dot% 23% | Boundary% 7%

Batters:
SPD Smith (chase SR 111, death SR 115)
BA Stokes (chase SR 126, death SR 161) (career data limited)
Partnership: 12b, 12r

Last over bowler: Imran Tahir (2/4 overs used, death econ 7.54, death wkts/ov 0.30)
Next over: different bowler.

Venue context (MA Chidambaram Stadium):
Surface: spin-friendly, medium boundaries
Chase rate: 38% (50 matches)
Avg 2nd inns: 152
Death RPO: 9.3
Dew: Medium evenings

Win probability for Rajasthan Royals?",,,,
anchor_002,1178394,2019,11,interesting,balanced_chase,high,8.444444444444445,6,"SYSTEM:
You are an IPL cricket analyst. Estimate the probability (0.0 to 1.0) that the batting team wins the match.
Write a short public reasoning summary focused only on the most important signals.
Do not reveal hidden chain-of-thought.

Format exactly as:
<analysis>
[2-5 sentence public reasoning summary here]
</analysis>
<answer>0.XX</answer>

Answer must be a decimal between 0.0 and 1.0.

USER:
IPL Match - Sunrisers Hyderabad chasing 137 set by Mumbai Indians
Venue: Rajiv Gandhi International Stadium
Match type: Evening (7:30 PM IST, dew likely)
Toss: Sunrisers Hyderabad chose to field first

End of Over 11:
Score: 61/4 (66 balls faced)
Need: 76 off 54 (RRR: 8.44)
Current run rate: 5.55

Momentum:
Last over: 2
Last 3 overs: 14 runs, 1 wickets
Last 5 overs: Dot% 37% | Boundary% 0%

Batters:
DJ Hooda (chase SR 126, death SR 161) (career data limited)
YK Pathan (chase SR 153, death SR 178)
Partnership: 3b, 0r

Last over bowler: JP Behrendorff (3/4 overs used, death econ 10.77, death wkts/ov 0.49) (career data limited)
Next over: different bowler.

Venue context (Rajiv Gandhi International Stadium):
Surface: balanced, medium boundaries
Chase rate: 58% (55 matches)
Avg 2nd inns: 150
Death RPO: 9.5
Dew: Low evenings

Win probability for Sunrisers Hyderabad?",,,,
anchor_003,1178421,2019,15,late_tension,balanced_chase,high,12.400000000000002,5,"SYSTEM:
You are an IPL cricket analyst. Estimate the probability (0.0 to 1.0) that the batting team wins the match.
Write a short public reasoning summary focused only on the most important signals.
Do not reveal hidden chain-of-thought.

Format exactly as:
<analysis>
[2-5 sentence public reasoning summary here]
</analysis>
<answer>0.XX</answer>

Answer must be a decimal between 0.0 and 1.0.

USER:
IPL Match - Royal Challengers Bengaluru chasing 188 set by Delhi Capitals
Venue: Arun Jaitley Stadium
Match type: Evening (7:30 PM IST, dew likely)
Toss: Delhi Capitals chose to bat first

End of Over 15:
Score: 126/5 (90 balls faced)
Need: 62 off 30 (RRR: 12.40)
Current run rate: 8.40

Momentum:
Last over: 11
Last 3 overs: 19 runs, 2 wickets
Last 5 overs: Dot% 23% | Boundary% 7%

Batters:
MP Stoinis (chase SR 126, death SR 161) (career data limited)
Gurkeerat Singh (chase SR 126, death SR 161) (career data limited)
Partnership: 12b, 15r

Last over bowler: A Mishra (4/4 overs used, death econ 9.32, death wkts/ov 0.14)
Next over: different bowler.

Venue context (Arun Jaitley Stadium):
Surface: batting-friendly, medium boundaries
Chase rate: 52% (63 matches)
Avg 2nd inns: 152
Death RPO: 9.3
Dew: Low evenings

Win probability for Royal Challengers Bengaluru?",,,,
anchor_004,1181766,2019,15,late_tension,balanced_chase,high,10.4,5,"SYSTEM:
You are an IPL cricket analyst. Estimate the probability (0.0 to 1.0) that the batting team wins the match.
Write a short public reasoning summary focused only on the most important signals.
Do not reveal hidden chain-of-thought.

Format exactly as:
<analysis>
[2-5 sentence public reasoning summary here]
</analysis>
<answer>0.XX</answer>

Answer must be a decimal between 0.0 and 1.0.

USER:
IPL Match - Delhi Capitals chasing 163 set by Sunrisers Hyderabad
Venue: Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Match type: Evening (7:30 PM IST, dew likely)
Toss: Delhi Capitals chose to field first

End of Over 15:
Score: 111/5 (90 balls faced)
Need: 52 off 30 (RRR: 10.40)
Current run rate: 7.40

Momentum:
Last over: 0
Last 3 overs: 14 runs, 2 wickets
Last 5 overs: Dot% 50% | Boundary% 10%

Batters:
RR Pant (chase SR 126, death SR 161) (career data limited)
SE Rutherford (chase SR 126, death SR 161) (career data limited)
Partnership: 2b, 0r

Last over bowler: Rashid Khan (4/4 overs used, death econ 6.78, death wkts/ov 0.47)
Next over: different bowler.

Venue context (Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium):
Limited IPL history (9 matches); venue stats are estimated.
Surface prior: balanced, medium boundaries
Chase rate: ~44%
Avg 2nd inns: ~134
Death RPO: ~7.5
Dew: Medium evenings

Win probability for Delhi Capitals?",,,,
anchor_005,1216499,2020,15,late_tension,balanced_chase,high,9.6,6,"SYSTEM:
You are an IPL cricket analyst. Estimate the probability (0.0 to 1.0) that the batting team wins the match.
Write a short public reasoning summary focused only on the most important signals.
Do not reveal hidden chain-of-thought.

Format exactly as:
<analysis>
[2-5 sentence public reasoning summary here]
</analysis>
<answer>0.XX</answer>

Answer must be a decimal between 0.0 and 1.0.

USER:
IPL Match - Mumbai Indians chasing 165 set by Royal Challengers Bengaluru
Venue: Sheikh Zayed Stadium
Match type: Evening (7:30 PM IST, dew likely)
Toss: Mumbai Indians chose to field first

End of Over 15:
Score: 117/4 (90 balls faced)
Need: 48 off 30 (RRR: 9.60)
Current run rate: 7.80

Momentum:
Last over: 10
Last 3 overs: 31 runs, 1 wickets
Last 5 overs: Dot% 43% | Boundary% 23%

Batters:
SA Yadav (chase SR 126, death SR 160) (career data limited)
HH Pandya (chase SR 126, death SR 160) (career data limited)
Partnership: 7b, 10r

Last over bowler: CH Morris (2/4 overs used, death econ 7.73, death wkts/ov 0.64)
Next over: different bowler.

Venue context (Sheikh Zayed Stadium):
Limited IPL history (5 matches); venue stats are estimated.
Surface prior: balanced, medium boundaries
Chase rate: ~60%
Avg 2nd inns: ~129
Death RPO: ~8.5
Dew: Low evenings

Win probability for Mumbai Indians?",,,,
anchor_006,1216507,2020,10,interesting,balanced_chase,high,9.2,6,"SYSTEM:
You are an IPL cricket analyst. Estimate the probability (0.0 to 1.0) that the batting team wins the match.
Write a short public reasoning summary focused only on the most important signals.
Do not reveal hidden chain-of-thought.

Format exactly as:
<analysis>
[2-5 sentence public reasoning summary here]
</analysis>
<answer>0.XX</answer>

Answer must be a decimal between 0.0 and 1.0.

USER:
IPL Match - Rajasthan Royals chasing 159 set by Sunrisers Hyderabad
Venue: Dubai International Cricket Stadium
Match type: Evening (7:30 PM IST, dew likely)
Toss: Sunrisers Hyderabad chose to bat first

End of Over 10:
Score: 67/4 (60 balls faced)
Need: 92 off 60 (RRR: 9.20)
Current run rate: 6.70

Momentum:
Last over: 4
Last 3 overs: 20 runs, 1 wickets
Last 5 overs: Dot% 37% | Boundary% 10%

Batters:
SV Samson (chase SR 135, death SR 140)
R Parag (chase SR 126, death SR 160) (career data limited)
Partnership: 5b, 4r

Last over bowler: Rashid Khan (2/4 overs used, death econ 6.85, death wkts/ov 0.60)
Next over: different bowler.

Venue context (Dubai International Cricket Stadium):
Limited IPL history (7 matches); venue stats are estimated.
Surface prior: balanced, medium boundaries
Chase rate: ~57%
Avg 2nd inns: ~146
Death RPO: ~10.9
Dew: Low evenings

Win probability for Rajasthan Royals?",,,,
anchor_007,1304070,2022,9,interesting,balanced_chase,high,10.090909090909092,6,"SYSTEM:
You are an IPL cricket analyst. Estimate the probability (0.0 to 1.0) that the batting team wins the match.
Write a short public reasoning summary focused only on the most important signals.
Do not reveal hidden chain-of-thought.

Format exactly as:
<analysis>
[2-5 sentence public reasoning summary here]
</analysis>
<answer>0.XX</answer>

Answer must be a decimal between 0.0 and 1.0.

USER:
IPL Match - Rajasthan Royals chasing 193 set by Gujarat Titans
Venue: Dr DY Patil Sports Academy, Mumbai
Match type: Evening (7:30 PM IST, dew likely)
Toss: Rajasthan Royals chose to field first

End of Over 9:
Score: 82/4 (54 balls faced)
Need: 111 off 66 (RRR: 10.09)
Current run rate: 9.11

Momentum:
Last over: 6
Last 3 overs: 17 runs, 1 wickets
Last 5 overs: Dot% 53% | Boundary% 10%

Batters:
HE van der Dussen (chase SR 125, death SR 160) (career data limited)
SO Hetmyer (chase SR 125, death SR 160) (career data limited)
Partnership: 9b, 8r

Last over bowler: Rashid Khan (2/4 overs used, death econ 6.21, death wkts/ov 0.60)
Next over: different bowler.

Venue context (Dr DY Patil Sports Academy, Mumbai):
Surface: batting-friendly, medium boundaries
Chase rate: 63% (19 matches)
Avg 2nd inns: 141
Death RPO: 8.5
Dew: High evenings

Win probability for Rajasthan Royals?",,,,
anchor_008,1304079,2022,15,late_tension,balanced_chase,high,10.6,5,"SYSTEM:
You are an IPL cricket analyst. Estimate the probability (0.0 to 1.0) that the batting team wins the match.
Write a short public reasoning summary focused only on the most important signals.
Do not reveal hidden chain-of-thought.

Format exactly as:
<analysis>
[2-5 sentence public reasoning summary here]
</analysis>
<answer>0.XX</answer>

Answer must be a decimal between 0.0 and 1.0.

USER:
IPL Match - Chennai Super Kings chasing 156 set by Mumbai Indians
Venue: Dr DY Patil Sports Academy, Mumbai
Match type: Evening (7:30 PM IST, dew likely)
Toss: Chennai Super Kings chose to field first

End of Over 15:
Score: 103/5 (90 balls faced)
Need: 53 off 30 (RRR: 10.60)
Current run rate: 6.87

Momentum:
Last over: 5
Last 3 overs: 24 runs, 2 wickets
Last 5 overs: Dot% 40% | Boundary% 10%

Batters:
MS Dhoni (chase SR 130, death SR 161)
RA Jadeja (chase SR 180, death SR 218)
Partnership: 1b, 1r

Last over bowler: DR Sams (4/4 overs used, death econ 17.73, death wkts/ov 0.00)
Next over: different bowler.

Venue context (Dr DY Patil Sports Academy, Mumbai):
Surface: batting-friendly, medium boundaries
Chase rate: 63% (19 matches)
Avg 2nd inns: 141
Death RPO: 8.5
Dew: High evenings

Win probability for Chennai Super Kings?",,,,
anchor_009,1304080,2022,9,interesting,balanced_chase,high,11.636363636363637,8,"SYSTEM:
You are an IPL cricket analyst. Estimate the probability (0.0 to 1.0) that the batting team wins the match.
Write a short public reasoning summary focused only on the most important signals.
Do not reveal hidden chain-of-thought.

Format exactly as:
<analysis>
[2-5 sentence public reasoning summary here]
</analysis>
<answer>0.XX</answer>

Answer must be a decimal between 0.0 and 1.0.

USER:
IPL Match - Delhi Capitals chasing 223 set by Rajasthan Royals
Venue: Wankhede Stadium, Mumbai
Match type: Evening (7:30 PM IST, dew likely)
Toss: Delhi Capitals chose to field first

End of Over 9:
Score: 95/2 (54 balls faced)
Need: 128 off 66 (RRR: 11.64)
Current run rate: 10.56

Momentum:
Last over: 26
Last 3 overs: 40 runs, 0 wickets
Last 5 overs: Dot% 20% | Boundary% 27%

Batters:
PP Shaw (chase SR 125, death SR 160) (career data limited)
RR Pant (chase SR 123, death SR 176)
Partnership: 23b, 47r

Last over bowler: OC McCoy (2/4 overs used, death econ 10.87, death wkts/ov 0.48) (career data limited)
Next over: different bowler.

Venue context (Wankhede Stadium, Mumbai):
Surface: batting-friendly, medium boundaries
Chase rate: 54% (83 matches)
Avg 2nd inns: 155
Death RPO: 10.6
Dew: High evenings

Win probability for Delhi Capitals?",,,,
anchor_010,1304081,2022,10,interesting,balanced_chase,high,9.4,6,"SYSTEM:
You are an IPL cricket analyst. Estimate the probability (0.0 to 1.0) that the batting team wins the match.
Write a short public reasoning summary focused only on the most important signals.
Do not reveal hidden chain-of-thought.

Format exactly as:
<analysis>
[2-5 sentence public reasoning summary here]
</analysis>
<answer>0.XX</answer>

Answer must be a decimal between 0.0 and 1.0.

USER:
IPL Match - Kolkata Knight Riders chasing 157 set by Gujarat Titans
Venue: Dr DY Patil Sports Academy, Mumbai
Match type: Evening (7:30 PM IST, dew likely)
Toss: Gujarat Titans chose to bat first

End of Over 10:
Score: 63/4 (60 balls faced)
Need: 94 off 60 (RRR: 9.40)
Current run rate: 6.30

Momentum:
Last over: 6
Last 3 overs: 22 runs, 0 wickets
Last 5 overs: Dot% 47% | Boundary% 17%

Batters:
RK Singh (chase SR 125, death SR 160) (career data limited)
VR Iyer (chase SR 125, death SR 160) (career data limited)
Partnership: 23b, 29r

Last over bowler: Mohammed Shami (3/4 overs used, death econ 10.93, death wkts/ov 0.75)
Next over: different bowler.

Venue context (Dr DY Patil Sports Academy, Mumbai):
Surface: batting-friendly, medium boundaries
Chase rate: 63% (19 matches)
Avg 2nd inns: 141
Death RPO: 8.5
Dew: High evenings

Win probability for Kolkata Knight Riders?",,,,
