gold_example_id,match_id,season,snapshot_over,sft_bucket,scenario_tag,review_priority,required_run_rate,wickets_in_hand,prompt,label_status,gold_probability,gold_analysis,reviewer_notes
gold_001,1178422,2019,4,easy,balanced_chase,medium,13.25,8,"SYSTEM:
You are an IPL cricket analyst. Estimate the probability (0.0 to 1.0) that the batting team wins the match.
Write a short public reasoning summary focused only on the most important signals.
Do not reveal hidden chain-of-thought.

Format exactly as:
<analysis>
[2-5 sentence public reasoning summary here]
</analysis>
<answer>0.XX</answer>

Answer must be a decimal between 0.0 and 1.0.

USER:
IPL Match - Mumbai Indians chasing 233 set by Kolkata Knight Riders
Venue: Eden Gardens
Match type: Evening (7:30 PM IST, dew likely)
Toss: Mumbai Indians chose to field first

End of Over 4:
Score: 21/2 (24 balls faced)
Need: 212 off 96 (RRR: 13.25)
Current run rate: 5.25

Momentum:
Last over: 1
Last 3 overs: 12 runs, 2 wickets
Last 5 overs: Dot% 71% | Boundary% 17%

Batters:
E Lewis (chase SR 126, death SR 161) (career data limited)
SA Yadav (chase SR 126, death SR 161) (career data limited)
Partnership: 3b, 0r

Last over bowler: HF Gurney (1/4 overs used, death econ 10.77, death wkts/ov 0.49) (career data limited)
Next over: different bowler.

Venue context (Eden Gardens):
Surface: balanced, medium boundaries
Chase rate: 60% (67 matches)
Avg 2nd inns: 149
Death RPO: 10.1
Dew: Medium evenings

Win probability for Mumbai Indians?",approved,0.08,"It is still early enough for Mumbai Indians to recover, but the chase has already started badly. Run rate pressure is severe here: they need 13.25, but the innings has only run at 5.25 so far. The chase has lost shape recently, with 2 wickets in the last three overs and a 71% dot-ball share across the last five.",assistant_authored_gold_v1
gold_002,1178420,2019,13,easy,balanced_chase,medium,6.714285714285714,8,"SYSTEM:
You are an IPL cricket analyst. Estimate the probability (0.0 to 1.0) that the batting team wins the match.
Write a short public reasoning summary focused only on the most important signals.
Do not reveal hidden chain-of-thought.

Format exactly as:
<analysis>
[2-5 sentence public reasoning summary here]
</analysis>
<answer>0.XX</answer>

Answer must be a decimal between 0.0 and 1.0.

USER:
IPL Match - Rajasthan Royals chasing 161 set by Sunrisers Hyderabad
Venue: Sawai Mansingh Stadium
Match type: Evening (7:30 PM IST, dew likely)
Toss: Rajasthan Royals chose to field first

End of Over 13:
Score: 114/2 (78 balls faced)
Need: 47 off 42 (RRR: 6.71)
Current run rate: 8.77

Momentum:
Last over: 14
Last 3 overs: 35 runs, 1 wickets
Last 5 overs: Dot% 40% | Boundary% 13%

Batters:
SPD Smith (chase SR 111, death SR 115)
SV Samson (chase SR 124, death SR 145)
Partnership: 9b, 21r

Last over bowler: S Kaul (3/4 overs used, death econ 8.77, death wkts/ov 0.38)
Next over: different bowler.

Venue context (Sawai Mansingh Stadium):
Surface: batting-friendly, medium boundaries
Chase rate: 65% (40 matches)
Avg 2nd inns: 145
Death RPO: 9.6
Dew: Low evenings

Win probability for Rajasthan Royals?",approved,0.95,Rajasthan Royals should close this chase out from here unless they create a collapse for themselves. Run rate is under control: they only need 6.71 and are already moving at 8.77. Having 8 wickets in reserve keeps plenty of scoring options alive from here.,assistant_authored_gold_v1
gold_003,1175356,2019,16,easy,cruise_control,medium,0.75,7,"SYSTEM:
You are an IPL cricket analyst. Estimate the probability (0.0 to 1.0) that the batting team wins the match.
Write a short public reasoning summary focused only on the most important signals.
Do not reveal hidden chain-of-thought.

Format exactly as:
<analysis>
[2-5 sentence public reasoning summary here]
</analysis>
<answer>0.XX</answer>

Answer must be a decimal between 0.0 and 1.0.

USER:
IPL Match - Chennai Super Kings chasing 71 set by Royal Challengers Bengaluru
Venue: MA Chidambaram Stadium
Match type: Evening (7:30 PM IST, dew likely)
Toss: Chennai Super Kings chose to field first

End of Over 16:
Score: 68/3 (96 balls faced)
Need: 3 off 24 (RRR: 0.75)
Current run rate: 4.25

Momentum:
Last over: 5
Last 3 overs: 16 runs, 1 wickets
Last 5 overs: Dot% 57% | Boundary% 3%

Batters:
RA Jadeja (chase SR 95, death SR 90)
KM Jadhav (chase SR 126, death SR 161) (career data limited)
Partnership: 10b, 9r

Last over bowler: UT Yadav (3/4 overs used, death econ 11.82, death wkts/ov 0.44)
Next over: different bowler.

Venue context (MA Chidambaram Stadium):
Surface: spin-friendly, medium boundaries
Chase rate: 38% (50 matches)
Avg 2nd inns: 152
Death RPO: 9.3
Dew: Medium evenings

Win probability for Chennai Super Kings?",approved,0.98,Chennai Super Kings are basically one controlled over away from the target now. Run rate is under control: they only need 0.75 and are already moving at 4.25. Recent scoring gives them a pulse here: 16 off the last three overs has stopped the equation from running away.,assistant_authored_gold_v1
gold_004,1175371,2019,16,easy,balanced_chase,medium,4.75,5,"SYSTEM:
You are an IPL cricket analyst. Estimate the probability (0.0 to 1.0) that the batting team wins the match.
Write a short public reasoning summary focused only on the most important signals.
Do not reveal hidden chain-of-thought.

Format exactly as:
<analysis>
[2-5 sentence public reasoning summary here]
</analysis>
<answer>0.XX</answer>

Answer must be a decimal between 0.0 and 1.0.

USER:
IPL Match - Sunrisers Hyderabad chasing 130 set by Delhi Capitals
Venue: Arun Jaitley Stadium
Match type: Evening (7:30 PM IST, dew likely)
Toss: Sunrisers Hyderabad chose to field first

End of Over 16:
Score: 111/5 (96 balls faced)
Need: 19 off 24 (RRR: 4.75)
Current run rate: 6.94

Momentum:
Last over: 8
Last 3 overs: 16 runs, 2 wickets
Last 5 overs: Dot% 50% | Boundary% 7%

Batters:
YK Pathan (chase SR 153, death SR 178)
NEW_BATTER_PENDING
Partnership: 0b, 0r

Last over bowler: S Lamichhane (4/4 overs used, death econ 10.77, death wkts/ov 0.49) (career data limited)
Next over: different bowler.

Venue context (Arun Jaitley Stadium):
Surface: batting-friendly, medium boundaries
Chase rate: 52% (63 matches)
Avg 2nd inns: 152
Death RPO: 9.3
Dew: Low evenings

Win probability for Sunrisers Hyderabad?",approved,0.94,"Sunrisers Hyderabad should close this chase out from here unless they create a collapse for themselves. The equation is favorable now because the asking rate of 4.75 is below the current scoring rate of 6.94. The bowling side now has to move away from S Lamichhane, which slightly improves the batting side's next-over outlook.",assistant_authored_gold_v1
gold_005,1175366,2019,19,easy,near_collapse,medium,122.0,1,"SYSTEM:
You are an IPL cricket analyst. Estimate the probability (0.0 to 1.0) that the batting team wins the match.
Write a short public reasoning summary focused only on the most important signals.
Do not reveal hidden chain-of-thought.

Format exactly as:
<analysis>
[2-5 sentence public reasoning summary here]
</analysis>
<answer>0.XX</answer>

Answer must be a decimal between 0.0 and 1.0.

USER:
IPL Match - Royal Challengers Bengaluru chasing 232 set by Sunrisers Hyderabad
Venue: Rajiv Gandhi International Stadium
Match type: Evening (7:30 PM IST, dew likely)
Toss: Royal Challengers Bengaluru chose to field first

End of Over 19:
Score: 110/9 (114 balls faced)
Need: 122 off 6 (RRR: 122.00)
Current run rate: 5.79

Momentum:
Last over: 6
Last 3 overs: 15 runs, 2 wickets
Last 5 overs: Dot% 57% | Boundary% 10%

Batters:
Mohammed Siraj (chase SR 126, death SR 161) (career data limited)
YS Chahal (chase SR 126, death SR 161) (career data limited)
Partnership: 3b, 1r

Last over bowler: V Shankar (2/4 overs used, death econ 10.77, death wkts/ov 0.49) (career data limited)
Next over: different bowler.

Venue context (Rajiv Gandhi International Stadium):
Surface: balanced, medium boundaries
Chase rate: 58% (55 matches)
Avg 2nd inns: 150
Death RPO: 9.5
Dew: Low evenings

Win probability for Royal Challengers Bengaluru?",approved,0.01,"This is almost gone for Royal Challengers Bengaluru unless something very unusual happens immediately. Run rate pressure is severe here: they need 122.00, but the innings has only run at 5.79 so far. Only 1 wickets remain, so another dismissal would almost shut the door.",assistant_authored_gold_v1
gold_006,1178394,2019,11,interesting,balanced_chase,high,8.444444444444445,6,"SYSTEM:
You are an IPL cricket analyst. Estimate the probability (0.0 to 1.0) that the batting team wins the match.
Write a short public reasoning summary focused only on the most important signals.
Do not reveal hidden chain-of-thought.

Format exactly as:
<analysis>
[2-5 sentence public reasoning summary here]
</analysis>
<answer>0.XX</answer>

Answer must be a decimal between 0.0 and 1.0.

USER:
IPL Match - Sunrisers Hyderabad chasing 137 set by Mumbai Indians
Venue: Rajiv Gandhi International Stadium
Match type: Evening (7:30 PM IST, dew likely)
Toss: Sunrisers Hyderabad chose to field first

End of Over 11:
Score: 61/4 (66 balls faced)
Need: 76 off 54 (RRR: 8.44)
Current run rate: 5.55

Momentum:
Last over: 2
Last 3 overs: 14 runs, 1 wickets
Last 5 overs: Dot% 37% | Boundary% 0%

Batters:
DJ Hooda (chase SR 126, death SR 161) (career data limited)
YK Pathan (chase SR 153, death SR 178)
Partnership: 3b, 0r

Last over bowler: JP Behrendorff (3/4 overs used, death econ 10.77, death wkts/ov 0.49) (career data limited)
Next over: different bowler.

Venue context (Rajiv Gandhi International Stadium):
Surface: balanced, medium boundaries
Chase rate: 58% (55 matches)
Avg 2nd inns: 150
Death RPO: 9.5
Dew: Low evenings

Win probability for Sunrisers Hyderabad?",approved,0.39,"The bowling side is ahead for now, although Sunrisers Hyderabad still have a path if they string together a clean passage. The chase is still being pushed by the rate because 8.44 is comfortably above the current 5.55. There is still enough batting left to absorb one mistake and keep the chase going.",assistant_authored_gold_v1
gold_007,1175367,2019,12,interesting,balanced_chase,high,11.125,6,"SYSTEM:
You are an IPL cricket analyst. Estimate the probability (0.0 to 1.0) that the batting team wins the match.
Write a short public reasoning summary focused only on the most important signals.
Do not reveal hidden chain-of-thought.

Format exactly as:
<analysis>
[2-5 sentence public reasoning summary here]
</analysis>
<answer>0.XX</answer>

Answer must be a decimal between 0.0 and 1.0.

USER:
IPL Match - Rajasthan Royals chasing 176 set by Chennai Super Kings
Venue: MA Chidambaram Stadium
Match type: Evening (7:30 PM IST, dew likely)
Toss: Rajasthan Royals chose to field first

End of Over 12:
Score: 87/4 (72 balls faced)
Need: 89 off 48 (RRR: 11.12)
Current run rate: 7.25

Momentum:
Last over: 7
Last 3 overs: 15 runs, 1 wickets
Last 5 overs: Dot% 23% | Boundary% 7%

Batters:
SPD Smith (chase SR 111, death SR 115)
BA Stokes (chase SR 126, death SR 161) (career data limited)
Partnership: 12b, 12r

Last over bowler: Imran Tahir (2/4 overs used, death econ 7.54, death wkts/ov 0.30)
Next over: different bowler.

Venue context (MA Chidambaram Stadium):
Surface: spin-friendly, medium boundaries
Chase rate: 38% (50 matches)
Avg 2nd inns: 152
Death RPO: 9.3
Dew: Medium evenings

Win probability for Rajasthan Royals?",approved,0.15,Rajasthan Royals are under heavy pressure now and need something out of the ordinary from this position. They still need a clear gear change: 11.12 required is a fair step above the present 7.25. This is not one of the grounds where the batting side can expect conditions to rescue a difficult chase.,assistant_authored_gold_v1
gold_008,1178394,2019,12,interesting,balanced_chase,high,8.625,5,"SYSTEM:
You are an IPL cricket analyst. Estimate the probability (0.0 to 1.0) that the batting team wins the match.
Write a short public reasoning summary focused only on the most important signals.
Do not reveal hidden chain-of-thought.

Format exactly as:
<analysis>
[2-5 sentence public reasoning summary here]
</analysis>
<answer>0.XX</answer>

Answer must be a decimal between 0.0 and 1.0.

USER:
IPL Match - Sunrisers Hyderabad chasing 137 set by Mumbai Indians
Venue: Rajiv Gandhi International Stadium
Match type: Evening (7:30 PM IST, dew likely)
Toss: Sunrisers Hyderabad chose to field first

End of Over 12:
Score: 68/5 (72 balls faced)
Need: 69 off 48 (RRR: 8.62)
Current run rate: 5.67

Momentum:
Last over: 7
Last 3 overs: 14 runs, 2 wickets
Last 5 overs: Dot% 33% | Boundary% 3%

Batters:
Mohammad Nabi (chase SR 126, death SR 161) (career data limited)
DJ Hooda (chase SR 126, death SR 161) (career data limited)
Partnership: 4b, 6r

Last over bowler: RD Chahar (3/4 overs used, death econ 10.77, death wkts/ov 0.49) (career data limited)
Next over: different bowler.

Venue context (Rajiv Gandhi International Stadium):
Surface: balanced, medium boundaries
Chase rate: 58% (55 matches)
Avg 2nd inns: 150
Death RPO: 9.5
Dew: Low evenings

Win probability for Sunrisers Hyderabad?",approved,0.27,This has become a difficult chase for Sunrisers Hyderabad and they need the game to swing quickly back their way. The chase is still being pushed by the rate because 8.62 is comfortably above the current 5.67. The recent wickets are a major problem: 2 down in the last three overs has disrupted the chase badly.,assistant_authored_gold_v1
gold_009,1178394,2019,13,interesting,balanced_chase,high,9.142857142857142,5,"SYSTEM:
You are an IPL cricket analyst. Estimate the probability (0.0 to 1.0) that the batting team wins the match.
Write a short public reasoning summary focused only on the most important signals.
Do not reveal hidden chain-of-thought.

Format exactly as:
<analysis>
[2-5 sentence public reasoning summary here]
</analysis>
<answer>0.XX</answer>

Answer must be a decimal between 0.0 and 1.0.

USER:
IPL Match - Sunrisers Hyderabad chasing 137 set by Mumbai Indians
Venue: Rajiv Gandhi International Stadium
Match type: Evening (7:30 PM IST, dew likely)
Toss: Sunrisers Hyderabad chose to field first

End of Over 13:
Score: 73/5 (78 balls faced)
Need: 64 off 42 (RRR: 9.14)
Current run rate: 5.62

Momentum:
Last over: 5
Last 3 overs: 14 runs, 2 wickets
Last 5 overs: Dot% 37% | Boundary% 3%

Batters:
Mohammad Nabi (chase SR 126, death SR 161) (career data limited)
DJ Hooda (chase SR 126, death SR 161) (career data limited)
Partnership: 10b, 11r

Last over bowler: JP Behrendorff (4/4 overs used, death econ 10.77, death wkts/ov 0.49) (career data limited)
Next over: different bowler.

Venue context (Rajiv Gandhi International Stadium):
Surface: balanced, medium boundaries
Chase rate: 58% (55 matches)
Avg 2nd inns: 150
Death RPO: 9.5
Dew: Low evenings

Win probability for Sunrisers Hyderabad?",approved,0.26,Sunrisers Hyderabad are under heavy pressure now and need something out of the ordinary from this position. The chase is still being pushed by the rate because 9.14 is comfortably above the current 5.62. The recent wickets are a major problem: 2 down in the last three overs has disrupted the chase badly.,assistant_authored_gold_v1
gold_010,1178393,2019,14,interesting,resources_but_work,high,10.166666666666666,8,"SYSTEM:
You are an IPL cricket analyst. Estimate the probability (0.0 to 1.0) that the batting team wins the match.
Write a short public reasoning summary focused only on the most important signals.
Do not reveal hidden chain-of-thought.

Format exactly as:
<analysis>
[2-5 sentence public reasoning summary here]
</analysis>
<answer>0.XX</answer>

Answer must be a decimal between 0.0 and 1.0.

USER:
IPL Match - Punjab Kings chasing 161 set by Chennai Super Kings
Venue: MA Chidambaram Stadium
Match type: Evening (7:30 PM IST, dew likely)
Toss: Chennai Super Kings chose to bat first

End of Over 14:
Score: 100/2 (84 balls faced)
Need: 61 off 36 (RRR: 10.17)
Current run rate: 7.14

Momentum:
Last over: 4
Last 3 overs: 25 runs, 0 wickets
Last 5 overs: Dot% 27% | Boundary% 7%

Batters:
KL Rahul (chase SR 126, death SR 161) (career data limited)
SN Khan (chase SR 126, death SR 161) (career data limited)
Partnership: 72b, 93r

Last over bowler: Harbhajan Singh (3/4 overs used, death econ 13.65, death wkts/ov 0.16)
Next over: different bowler.

Venue context (MA Chidambaram Stadium):
Surface: spin-friendly, medium boundaries
Chase rate: 38% (50 matches)
Avg 2nd inns: 152
Death RPO: 9.3
Dew: Medium evenings

Win probability for Punjab Kings?",approved,0.67,"Punjab Kings are slightly in front, though the next over or two still matter. Having 8 wickets in reserve keeps plenty of scoring options alive from here. The current partnership is important here because KL Rahul and SN Khan have already built enough of a base to attack from. The chase is still being pushed by the rate because 10.17 is comfortably above the current 7.14.",assistant_authored_gold_v1
